Year,Week,District,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Total Rain (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Weather Code,Avg Daylight Duration (hours),Avg Sunrise Time Minutes,Avg Sunset Time Minutes,Week Start Date,Week End Date,Number of Cases
2007,1,Ampara,26.61875,22.34375,29.2125,25.1,72.0,72.0,17.23125,44.3,3,11.714583333333334,375.5,1078.5,2006-12-30,2007-01-05,0
2007,1,Anuradhapura,27.65625,21.0375,29.55,23.4375,15.3,15.3,15.399999999999999,41.4,3,11.653125000000003,382.5,1081.5,2006-12-30,2007-01-05,0
2007,1,Badulla,23.431250000000002,17.76875,26.1625,19.1875,45.300000000000004,45.300000000000004,8.5375,38.9,1,11.728124999999999,377.5,1081.5,2006-12-30,2007-01-05,0
2007,1,Batticaloa,26.95,22.875,29.25,25.518749999999997,106.89999999999999,106.89999999999999,19.68125,38.2,3,11.68854166666667,376.5,1077.5,2006-12-30,2007-01-05,0
2007,1,Colombo,29.55,22.4,33.2875,24.64375,34.900000000000006,34.900000000000006,12.48125,38.5,3,11.730208333333334,382.0,1086.0,2006-12-30,2007-01-05,40
2007,1,Galle,29.19375,23.21875,35.10625,27.081250000000004,50.6,50.6,10.4125,37.4,3,11.780208333333333,379.5,1086.5,2006-12-30,2007-01-05,10
2007,1,Gampaha,29.506249999999998,22.14375,32.2875,24.2375,13.4,13.4,15.53125,45.7,3,11.724999999999998,382.0,1085.5,2006-12-30,2007-01-05,11
2007,1,Hambantota,28.493750000000006,22.59375,32.2,25.2375,17.299999999999997,17.299999999999997,14.931250000000002,40.0,2,11.773958333333333,376.0,1082.5,,,
2007,1,Jaffna,26.7125,24.262500000000003,27.31875,24.6625,25.0,25.0,26.83125,45.7,2,11.577083333333333,386.0,1081.0,2006-12-30,2007-01-05,0
2007,1,Kaluthara,28.793750000000003,22.643750000000004,32.75,25.118750000000002,34.900000000000006,34.900000000000006,12.48125,38.5,3,11.752083333333335,381.0,1086.5,,,
2007,1,Kandy,24.71875,18.13125,27.299999999999997,19.90625,16.1,16.1,11.118749999999999,38.2,1,11.713541666666668,379.5,1082.5,2006-12-30,2007-01-05,41
2007,1,Kegalle,27.30625,19.84375,29.356250000000003,21.5875,7.0,7.0,13.78125,41.0,1,11.7125,381.0,1084.0,2006-12-30,2007-01-05,4
2007,1,Kilinochchi,26.88125,23.43125,27.99375,24.56875,30.2,30.2,22.9375,44.3,3,11.590624999999998,384.5,1080.0,2006-12-30,2007-01-05,0
2007,1,Kurunegala,27.86875,20.9375,30.31875,23.08125,14.500000000000002,14.500000000000002,15.29375,45.0,3,11.701041666666669,381.0,1083.5,2006-12-30,2007-01-05,11
2007,1,Mannar,27.56875,23.4875,28.5375,24.75625,17.999999999999996,17.999999999999996,23.293750000000003,45.0,2,11.617708333333335,385.5,1082.5,2006-12-30,2007-01-05,2
2007,1,Matale,25.4625,18.981250000000003,28.125,21.268749999999997,78.1,78.1,10.575,41.0,3,11.702083333333334,380.0,1082.5,2006-12-30,2007-01-05,2
2007,1,Matara,28.4625,22.7375,33.9625,26.45625,50.6,50.6,10.4125,37.4,3,11.788541666666667,377.5,1085.5,2006-12-30,2007-01-05,8
2007,1,Monaragala,26.91875,19.7125,29.69375,21.54375,47.1,47.1,14.843749999999996,41.4,2,11.736458333333333,376.0,1080.5,2006-12-30,2007-01-05,0
2007,1,Mullaitivu,26.7125,23.95,28.28125,25.0625,46.0,46.0,20.775,45.4,3,11.601041666666665,382.5,1078.5,2006-12-30,2007-01-05,0
2007,1,NuwaraEliya,19.6875,13.350000000000001,20.675,13.5625,54.400000000000006,54.400000000000006,7.5062500000000005,37.1,51,11.733333333333333,378.5,1082.5,2006-12-30,2007-01-05,4
